model,augmentation,phase,epoch,loss,accuracy,date,transformations

ORCA__Size-640x640_Epoch-1_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,1,0.1795057312145338,0.9637258676382215,2023-06-18 17:48:10.413032,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-1_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,1,0.10398942356308301,0.969613219144052,2023-06-18 17:48:10.413032,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-2_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,2,0.09662701052378167,0.9707601761031934,2023-06-18 17:50:44.771980,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-2_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,2,0.09229739016869612,0.9697511800130207,2023-06-18 17:50:44.771980,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-3_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,3,0.08777709933673288,0.9706115856799451,2023-06-18 17:53:18.028849,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-3_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,3,0.07257368957231704,0.9746980580112391,2023-06-18 17:53:18.028849,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-4_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,4,0.0717655726002304,0.9750854626330699,2023-06-18 17:55:50.890578,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-4_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,4,0.06593048569272485,0.9764170114617601,2023-06-18 17:55:50.890578,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-5_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,5,0.06649276388010808,0.9767119221110923,2023-06-18 17:58:21.109587,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-5_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,5,0.05911064873400487,0.9788512326959976,2023-06-18 17:58:21.109587,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-6_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,6,0.0665463264929233,0.9764668156550483,2023-06-18 18:00:50.791294,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-6_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,6,0.05658773574651333,0.9790001477693263,2023-06-18 18:00:50.791294,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-7_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,7,0.05846161133312917,0.9789351176167588,2023-06-18 18:03:24.508902,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-7_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,7,0.05408507038169263,0.9802302845737388,2023-06-18 18:03:24.508902,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-8_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,8,0.057150909963708654,0.9792852045415523,2023-06-18 18:05:57.120385,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-8_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,8,0.05227138680454932,0.9811284864994513,2023-06-18 18:05:57.120385,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-9_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,9,0.05649105510623245,0.9793223756224249,2023-06-18 18:08:25.908561,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-9_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,9,0.05412090791944872,0.9800765402275213,2023-06-18 18:08:25.908561,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-10_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,10,0.052734610373870686,0.9806632039835166,2023-06-18 18:10:54.770685,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

