model,augmentation,phase,epoch,loss,accuracy,date,transformations

ORCA__Size-640x640_Epoch-1_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,1,0.0834101576888149,0.973339205258222,2024-05-28 10:36:50.177199,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-1_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,1,0.1244648537269376,0.9670052153488686,2024-05-28 10:36:50.177698,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-2_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,2,0.06358477708902832,0.9766354142084405,2024-05-28 10:49:09.446758,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-2_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,2,0.12516247335387842,0.9675306333344561,2024-05-28 10:49:09.446758,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-3_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,3,0.058119564882030975,0.9785129196579385,2024-05-28 11:01:37.666225,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-3_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,3,0.1157124542334149,0.970106769430226,2024-05-28 11:01:37.666225,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-4_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,4,0.05489864923276114,0.9793161753061642,2024-05-28 11:13:53.459571,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-4_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,4,0.12392117137466718,0.9705049080684256,2024-05-28 11:13:53.459571,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-5_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,5,0.05208700116344732,0.980369809003628,2024-05-28 11:25:59.626775,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-5_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,5,0.12869361985940486,0.9713370171908677,2024-05-28 11:25:59.626775,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-6_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,6,0.05085673974530804,0.9807053684543899,2024-05-28 11:38:08.504659,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-6_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,6,0.13415732501066643,0.9713857769143995,2024-05-28 11:38:08.504659,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-7_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,7,0.04853241181664394,0.9815693041099464,2024-05-28 11:50:13.904915,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-7_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,7,0.13093039254128033,0.9716638183593757,2024-05-28 11:50:13.904915,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-8_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,8,0.047722885825646086,0.9818666122751881,2024-05-28 12:02:25.456031,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-8_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,8,0.12591855537652136,0.9718988405424972,2024-05-28 12:02:25.456031,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-9_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,9,0.04825976658804973,0.9817082119746126,2024-05-28 12:14:36.441902,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-9_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,9,0.12808964576708667,0.97189576773808,2024-05-28 12:14:36.441902,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-10_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,10,0.046448465452613885,0.9822563057370338,2024-05-28 12:26:39.258590,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-10_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,10,0.13184176862504782,0.9719422070733429,2024-05-28 12:26:39.258590,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-11_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,11,0.04483779274898512,0.9825365182364116,2024-05-28 12:38:48.157880,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-11_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,11,0.13829768191147918,0.972593494283742,2024-05-28 12:38:48.157880,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-12_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,12,0.04580531775653777,0.9823818673769118,2024-05-28 12:50:53.924598,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-12_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,12,0.12831647096177692,0.9724951329724545,2024-05-28 12:50:53.924598,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-13_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,13,0.04482756867014251,0.9827815729332265,2024-05-28 13:03:05.430931,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-13_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,13,0.12946010460266202,0.9721378510573816,2024-05-28 13:03:05.430931,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-14_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,14,0.04381553600105458,0.9830759351090514,2024-05-28 13:15:18.748787,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-14_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,14,0.13321940264873336,0.9726013183593757,2024-05-28 13:15:18.748787,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-15_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,15,0.04262285767713878,0.9836029896940842,2024-05-28 13:27:25.713432,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-15_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,15,0.1351788561722938,0.9728238020272092,2024-05-28 13:27:25.713432,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

