model,augmentation,phase,epoch,loss,accuracy,date,transformations
,random_7_operations,train,1,0.7151452004909515,0.5118894577026367,2023-05-04 09:04:09.293213,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
,random_7_operations,test,1,8.064117908477783,0.5897407531738281,2023-05-04 09:04:09.293213,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
,random_7_operations,train,2,0.5664505511522293,0.8218536376953125,2023-05-04 09:05:29.074617,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
,random_7_operations,test,2,0.4721214026212692,0.8193302154541016,2023-05-04 09:05:29.074617,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
,random_7_operations,train,3,0.4686594530940056,0.9682741165161133,2023-05-04 09:06:47.926308,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
,random_7_operations,test,3,0.34407874941825867,0.9975357055664062,2023-05-04 09:06:47.926308,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
,random_7_operations,train,4,0.3993629142642021,0.991206169128418,2023-05-04 09:08:05.625352,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
,random_7_operations,test,4,0.38841280341148376,0.9975357055664062,2023-05-04 09:08:05.625352,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
BONE_CHANNELS_reduced_size__Size-512x512_Epoch-100_Images-4_Batch-1__random_7_operations_all.pth,random_7_operations,train,5,0.35726387798786163,0.9952974319458008,2023-05-04 09:09:24.357079,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
BONE_CHANNELS_reduced_size__Size-512x512_Epoch-100_Images-4_Batch-1__random_7_operations_all.pth,random_7_operations,test,5,0.3853815793991089,0.9975357055664062,2023-05-04 09:09:24.357079,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
BONE_CHANNELS_reduced_size__Size-512x512_Epoch-100_Images-4_Batch-1__random_7_operations_all.pth,random_7_operations,train,6,0.33202478289604187,0.9956283569335938,2023-05-04 09:10:42.846880,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
BONE_CHANNELS_reduced_size__Size-512x512_Epoch-100_Images-4_Batch-1__random_7_operations_all.pth,random_7_operations,test,6,0.3770858496427536,0.9975357055664062,2023-05-04 09:10:42.846880,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
BONE_CHANNELS_reduced_size__Size-512x512_Epoch-100_Images-4_Batch-1__random_7_operations_all.pth,random_7_operations,train,7,0.30780578404664993,0.9955224990844727,2023-05-04 09:12:00.622901,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
BONE_CHANNELS_reduced_size__Size-512x512_Epoch-100_Images-4_Batch-1__random_7_operations_all.pth,random_7_operations,test,7,0.37623223662376404,0.9975357055664062,2023-05-04 09:12:00.622901,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
